id,question,answer,due_date,num,active
0,What is the Hindi of straight ___,सीधे,2020-10-27 12:42:07.222402,3,True
1,What is the Hindi of spring ___,वसंत,2020-10-28 09:57:58.917701,5,True
2,What is the Hindi of child ___,बच्चे,2020-10-29 17:21:53.880784,5,True
3,What is the Hindi of observe ___,निरीक्षण,2020-10-29 11:27:05.005290,4,True
4,What is the Hindi of moment ___,पल,2020-10-30 12:42:07.221180,5,True
5,What is the Hindi of loud ___,जोर,2020-10-27 17:21:53.880574,4,True
6,What is the Hindi of as ___,जैसा,2020-10-28 11:27:05.004824,3,True
7,What is the Hindi of method ___,विधि,2020-10-27 17:21:53.880929,4,True
8,What is the Hindi of lake ___,झील,2020-10-27 18:27:05.004630,2,True
9,What is the Hindi of scale ___,पैमाने,2020-10-27 12:42:07.222551,3,True
10,What is the Hindi of on ___,पर,2020-10-27 12:42:07.221668,3,True
11,What is the Hindi of at ___,पर,2020-10-27 12:42:07.221822,3,True
12,What is the Hindi of be ___,हो,2020-10-27 12:42:07.221999,3,True
13,What is the Hindi of they ___,वे,2020-10-28 11:27:05.004421,3,True
14,What is the Hindi of with ___,साथ,2020-10-27 12:42:07.222151,3,True
15,What is the Hindi of are ___,हैं,2020-10-28 11:27:05.005073,3,True
16,What is the Hindi of that ___,कि,2020-10-27 18:27:05.004224,2,True
17,What is the Hindi of for ___,के लिए,2020-10-27 18:27:05.004060,2,True
18,What is the Hindi of was ___,था,2020-10-28 11:27:05.003636,3,True
19,What is the Hindi of he ___,वह,2020-10-01 17:50:28.505849,0,False
20,What is the Hindi of home ___,घर,2020-10-01 17:50:28.505849,0,False
21,What is the Hindi of his ___,उसके,2020-10-01 17:50:28.505849,0,False
22,What is the Hindi of of ___,की,2020-10-01 17:50:28.505849,0,False
23,What is the Hindi of have ___,है,2020-10-01 17:50:28.505849,0,False
24,What is the Hindi of word ___,शब्द,2020-10-01 17:50:28.505849,0,False
25,What is the Hindi of this ___,इस,2020-10-01 17:50:28.505849,0,False
26,What is the Hindi of from ___,से,2020-10-01 17:50:28.505849,0,False
27,What is the Hindi of by ___,द्वारा,2020-10-01 17:50:28.505849,0,False
28,What is the Hindi of hot ___,गरम,2020-10-01 17:50:28.505849,0,False
29,What is the Hindi of had ___,था,2020-10-01 17:50:28.505849,0,False
30,What is the Hindi of but ___,लेकिन,2020-10-01 17:50:28.505849,0,False
31,What is the Hindi of what ___,क्या,2020-10-01 17:50:28.505849,0,False
32,What is the Hindi of some ___,कुछ,2020-10-01 17:50:28.505849,0,False
33,What is the Hindi of is ___,है,2020-10-01 17:50:28.505849,0,False
