id,question,answer,due_date,num,active
0,____ ___ are पर्यायवाची शब्द of बड़ाई,बड़प्पन महत्ता,2020-12-01 18:32:55.826202,7,False
1,___ is शदार्थ of बड़ाई,महत्ता,2020-12-15 08:00:09.369863,7,False
2,___ is शदार्थ of धीरज,साहस,2020-12-15 08:00:09.369821,7,False
3,___ is शदार्थ of चुगली खाना,निंदा करना,2020-12-15 08:18:35.893954,7,False
4,____ ___ are पर्यायवाची शब्द of झूठ,असत्य मिथ्या,2020-12-07 16:36:58.701217,6,False
5,____ is विलोम शब्द of मालिक,नौकर,2020-12-01 18:32:55.825517,7,False
6,____ ___ are पर्यायवाची शब्द of आदर,सत्कार सम्मान,2020-12-07 08:00:09.369893,6,False
7,___ is शब्दार्थ of दुख,पीड़ा,2020-12-15 08:00:09.369655,7,False
8,____ is विलोम शब्द of विजय,पराजय,2020-12-01 18:32:55.826083,7,False
9,___ ___ are  पर्यायवाची शब्द of प्यार,अनुराग प्रीति,2020-12-03 08:00:09.369922,5,False
10,___ ___are पर्यायवाची शब्द of मन,हृदय अंत:करण,2020-12-07 08:18:35.893926,6,False
11,___ is शदार्थ of भिड़ जाना,मुकाबला करना,2020-12-15 08:00:09.369719,7,False
12,___ is शदार्थ of खम्भ ठोक कर,साहसपूर्वक,2020-12-03 08:18:35.894243,5,False
13,___ ___are पर्यायवाची शब्द of डर,भय त्रास,2020-12-01 18:32:55.826156,7,False
14,____ is विलोम शब्द of झूठ,सच,2020-12-07 08:00:09.370010,6,False
15,समानार्थी (समान अर्थ वाले शब्द) of कष्ट,पीड़ा,2020-12-15 08:18:35.894150,7,False
16,समानार्थी (समान अर्थ वाले शब्द) of शुरू,आरम्भ,2020-12-07 08:00:09.369769,6,False
17,समानार्थी (समान अर्थ वाले शब्द) of ख़तम,समाप्त,2020-12-15 08:18:35.893898,7,False
18,समानार्थी (समान अर्थ वाले शब्द) of जरूरत,आवश्यक,2020-11-30 16:36:58.700100,3,False
19,समानार्थी (समान अर्थ वाले शब्द) of मुंह,चेहरा  मुख़,2020-12-01 08:00:09.370390,4,False
20,विलोम शब्द भरिए: कई लोग उनसे अपना ___ कहते ।  (सुख),दुख,2020-12-07 16:36:58.700900,6,False
21,विलोम शब्द भरिए: जब बोलना ___ करता है तो चुप ही नहीं होता!(ख़तम),शुरू,2020-12-07 16:36:58.700951,6,False
22,विलोम शब्द भरिए: यह तो बहुत ही ___ हुआ ( बुरा),अच्छा,2020-12-01 08:18:35.894343,4,False
23,स्त्रीलिंग या पुल्लिंग लिखिए: पड़ोसी ___,स्त्रीलिंग,2020-12-15 08:00:09.369951,7,False
24,स्त्रीलिंग या पुल्लिंग लिखिए: दवा __,स्त्रीलिंग,2020-12-15 08:18:35.893841,7,False
25,स्त्रीलिंग या पुल्लिंग लिखिए: घर __,पुल्लिंग,2020-12-15 08:18:35.893714,7,False
26,स्त्रीलिंग या पुल्लिंग लिखिए: चुप्पी___,स्त्रीलिंग,2020-12-15 08:18:35.894199,7,False
27,स्त्रीलिंग या पुल्लिंग लिखिए: कष्ट ___,पुलिंग,2020-12-15 08:18:35.893753,7,False
28,स्त्रीलिंग या पुल्लिंग लिखिए: लड़ाई ___,स्त्रीलिंग,2020-12-15 08:18:35.894100,7,False
29,स्त्रीलिंग या पुल्लिंग लिखिए: झगड़ा ___,पुल्लिंग,2020-12-15 08:18:35.893784,7,False
30,स्त्रीलिंग या पुल्लिंग लिखिए: गुस्सा ___,पुल्लिंग,2020-12-07 16:36:58.701162,6,False
31,स्त्रीलिंग या पुल्लिंग लिखिए: सुबह ___,स्त्रीलिंग,2020-12-03 08:00:09.370275,5,False
32,write विलोम शब्द of दुख,सुख,2020-12-07 08:00:09.369981,6,False
33,write विलोम शब्द of बढ़िया,घटिया,2020-12-01 08:18:35.894314,4,False
34,write विलोम शब्द of साफ,गंदा,2020-12-07 16:36:58.701004,6,False
35,write विलोम शब्द of नमकीन,मीठा,2020-12-03 08:00:09.370182,5,False
36,write पर्यायवाची शब्द of दुख,कष्ट पीड़ा,2020-11-29 23:36:58.700849,2,False
37,write पर्यायवाची शब्द of उपाय,तरीका इलाज,2020-12-01 08:00:09.370419,4,False
38,write पर्यायवाची शब्द of बुद्धि,दिमाग मति,2020-10-22 17:19:08.299703,0,False
39,write पर्यायवाची शब्द of बढ़िया,अच्छा भला,2020-10-22 17:19:08.299703,0,False
40,write शब्दार्थ of कष्ट,पीड़ा दर्द,2020-10-22 17:19:08.299703,0,False
41,write शब्दार्थ of झगड़ालू,लड़ाई करने वाला,2020-10-22 17:19:08.299703,0,False
42,write शब्दार्थ of प्रयोग,इस्तेमाल,2020-10-22 17:19:08.299703,0,False
43,write शब्दार्थ of कमाल,अदभुत काम,2020-10-22 17:19:08.299703,0,False
44,write शब्दार्थ of कीटाणु,बहुत छोटे छोटे कीड़े,2020-10-22 17:19:08.299703,0,False
45,write शब्दार्थ of महान,बड़ा,2020-10-22 17:19:08.299703,0,False
46,write शदार्थ of आशचर्य,हैरानी,2020-10-22 17:19:08.299703,0,False
47,सर्वनाम शब्द छांट कर लिखिए: वे लोगो को बढ़िया उपाय बताते थे।,वे,2020-12-15 08:18:35.893983,7,False
48,सर्वनाम शब्द छांट कर लिखिए: मेरी हालत बहुत खराब है।,मेरी,2020-12-15 08:18:35.894011,7,False
49,सर्वनाम शब्द छांट कर लिखिए: मै तुम्हे एक दवा देता हूं।,मै तुम्हे,2020-12-15 08:18:35.893869,7,False
50,सर्वनाम शब्द छांट कर लिखिए: थक हारकर वह भी चुप हो  गया।,वह,2020-12-15 08:18:35.894039,7,False
51,सर्वनाम शब्द छांट कर लिखिए: तेनालीराम जी; आप महान हैं।,आप,2020-12-15 08:18:35.894067,7,False
52,समानार्थी (समान अर्थ वाले शब्द) of गुस्सा,क्रोध,2020-12-07 08:18:35.893812,6,False
53,write शब्दार्थ : ज्योति,रोशनी (Flame Light),2020-10-24 08:24:33.304974,0,True
54,write शब्दार्थ : सुखद,सुख या खुशी देने वाला (Pleasant),2020-10-24 08:24:33.304974,0,True
55,write शब्दार्थ : सुगंधित,खुशबूदार (Fragrant),2020-10-24 08:24:33.304974,0,True
56,write शब्दार्थ : कण-कण,हर छोटा टुकड़ा ; हर हिस्सा (Particles),2020-10-24 08:24:33.304974,0,True
57,write शब्दार्थ : निराली,अनोखी,2020-10-24 08:24:33.304974,0,True
58,write शब्दार्थ : धरा,धरती,2020-10-24 08:24:33.304974,0,True
59,write शब्दार्थ : पवन,हवा,2020-10-24 08:24:33.304974,0,True
60,पर्यायवाची शब्द : किरण ___ ___ ___,रश्मि मयूख कर,2020-10-24 08:24:33.304974,0,True
61,पर्यायवाची शब्द : घरा ___ ___ ___,धरती भूमि पृथ्वी,2020-10-24 08:24:33.304974,0,True
62,पर्यायवाची शब्द : दुनिया ___ ___ ___,विश्व संसार जग,2020-12-03 16:36:58.701370,5,True
63,पर्यायवाची शब्द : ज्योति ___ ___ ___,प्रकाश चमक प्रभा,2020-10-24 08:24:33.304974,0,True
64,पर्यायवाची शब्द : पवन ___ ___ ___,हवा वायु समीर,2020-10-24 08:24:33.304974,0,True
65,पर्यायवाची शब्द : सवेरा ___ ___ ___,प्रांतकाल भोर उषा,2020-10-24 08:24:33.304974,0,True
66,विलोम शब्द : एक,अनेक,2020-12-01 08:00:09.370448,4,True
67,विलोम शब्द : निराली,साधारण,2020-11-29 23:36:58.700798,2,True
68,विलोम शब्द : सुनहरे,रूपहले,2020-10-24 08:24:33.304974,0,True
69,विलोम शब्द : प्रकाश,अंधकार अंधेरा,2020-10-24 08:24:33.304974,0,True
70,विलोम शब्द : सुखद,दुखद,2020-10-24 08:24:33.304974,0,True
71,विलोम शब्द : मुस्काना,सिसकना,2020-10-24 08:24:33.304974,0,True
